canonical_name,injury_type
Back Extension,Back
Back Extension,Hamstrings
Bicep Curl,Biceps
Calf Raise,Calves
Chest Fly,Chest
Chest Fly,Shoulders
Chest Fly,Forearms
Chest Press,Chest
Chest Press,Shoulders
Chest Press,Forearms
Core,Core
Deadlift,Back
Deadlift,Hamstrings
Deadlift,Forearms
Dips,Triceps
Dips,Shoulders
Face Pull,Forearms
Hip Abduction,
Hip Adduction,
Hip Extension,Glutes
Leg Curl,Hamstrings
Leg Extension,Quads
Leg Press,Quads
Leg Press,Glutes
Lunge,Quads
Push Up,Chest
Push Up,Shoulders
Rear Delt Fly,
Row,Back
Row,Forearms
Shoulder Press,Shoulders
Shoulder Raise,Forearms
Shrug,Traps
Split Squat,Quads
Squat,Quads
Squat,Glutes
Step-Up,Quads
Step-Up,Glutes
Tricep Extension,Triceps
Vertical Pull,Back
Vertical Pull,Forearms
