Section, Description
"Questionnaire: Welcome page", "Currently the carousel looks great but I would like to see the left edge of the third shot appearing to the right. Right now two shots appear on screen and they are equal size so the user can't necessarily see that it's a sliding carousel. We might be able to achieve this by reduciong the horizontal spacing between shots. suggest something."
"Questionnaire: Welcome page", "We currently have two paragraphs above the carousel, then carousel, then continue button. I'd like the second paragraph to come after the carousel but reduce the margin top and bottom of that carousel (without impacting the size of the carousel)."
"Questionnaire: Welcome page", "remove 'programming principles' go with training principles only"
"Throughout sections", "Pill buttons have a range of designs currently. When clicking Sign In on the first carousel page, a sign in card is revealed and clicking create account displays a circle cross cancel button top left. This button should become standard throughout the app for any cancellation to close a page or scrolling card replicate this throughout, incliudoing account settings, whose button currently lacks close behaviour. Any sign in button throughout should be a pill (border) both font and border peach. e.g. top right of carousel page"
"Sign in sections","When signing in we provide, google, apple or email sign in. Google and Apple have their own icons but email lacks one. It should have a closed envelope icon matching the text colour, wherever email sign in shows up throughout the app."
"Goals question and questionnaire","Circular ticks are different throughout selections in the questionnaire. We need consistency. Any time we select a card it turns orange and we should mimic the later questions with a white tick in the top right of the card, e.g. on the experience question. investigate this and demonstrate your understanding of the requirement."
"Goals question","Second option should be 'Develop size and...'"
"Body stats question","On the body stats question, following asking for the user's name what should we call you question, we simply display a Nice to meet you string at the top. This is insufficient for UX. Instead, after we ask what to call the userm on submit, let's have a full screen interstitial animation screen that says 'Welcome aboard, <user name>\nsalute emoji' in big text, black background with a 20% transparency and some sort of animation like spark or bright animation, not confetti because we use that later. Then remove the current nice to meet you string from the top of the body stats question and move the rest of the contents up to fill the space"
"Body stats question","Sign in with apple health component is full width, reduce it to the width of the text and also remove the string about being limited in the simulator"
"Throughout app","Discrepancies in UK vs US english spellings e.g. personalised versus personalized. ensure US spellings throughout with -ized suffix".
"Throughout app","All question titles should be one size increment larger"
"Height and Weigth question","We removed decimals on the orange integers, so remove the integers on the sliding ruler units too, look up SlidingRuler docs if need be"
"Days per week availability question","the spacing between 'be realistic' and the top of the selected number, and the spacing between the bottom of the selected dpw and the recommended text is too large. reduce by 30% in each case - purely spacing, not the size of any contents"
"Days per week availability question","Professional recommendation warning prompt. Remove the line about brain needing time to learn, just have recommendation and 'to allow sufficient recovery'"
"Transition effects between questions","In all cases only seem to impact text sliding in from right to left and not card components. Need to ensure this is everything otherwise it lazy slides and looks awful"
"Time duration availability question","Rephrase to 'How long can you spend training?'"
"Gym type question", "Appearance of the ticks seem to cause a line break in gym description even though they're not in close proximity. after accounting for tick consistency issue above, ensure this doesn't truncate description lines."
"Gym type questions", "Include examples of the pre-selected equipment for each gym type in brackets in the description in prose"
"Equipment availability question","Inconsistent highlighting, e.g. for barbells the card is filled orange when selected with a white tick, but for dumbbells and kettlebells, we get no fill colour and an orange tick. all should be the same while still preserving the parent-child behaviour in place for category selections i.e. card fills in accent colour with white tick. For parents of hierarhcies, retain the same tint behaviour for partial child selections and white ticks should be white dots."
"Equipment availability question","Left padding between equipment card and equipment thumbnail should match the top and bottom padding to ensure even spacing around top,left,bottom edges"
"Throughout","Any pill buttons inside answer components should match the pills described above e.g. peach coloured border and text."
"Equipment availability question","Unlocks x exercises - ensure these are accurate figures and data driven in case we add more to database, same goes for 'we preselected'"
"Equipment availability question","I want a demonstration overlay model apple style for each piece of equipment if a user clicks the equipment card thumbnail (also add a circular i information button next to the equipment name on each card which has the same bahviour. Clicking produces a overlay model with the thumbnail but larger and a title and description of the equipment. generate these descriptions but add them as a column at source in the equipment mapping prod csv, then update the python db file accordingly and where swift code fetches descriptions, this allows us to maintain. User should then be able to close the modal overlay, make them glass apple style."
"Equipment availability question","Append 'attachment' to anything in the attachment section e.g. 'Rope attachment', 'Straight bar attachment'"
"Priority muscle groups","the spacing between 'Front' and 'Back' figure titles and the top of the figure is too large, reduce by half. Do the same for the space between the figure bottom edge and the top edge of the pill tags that dynamically appear when muscle groups are selected. However crucially, do not change the size of the figures of themselves."
"Priority muscle groups","Transition effect behaving very strangely on this question going in to the next question. It shifts the view up slightly then transitions even though there is no scroll on this question, so everything is in view, what's going on?"
"Injuries question","Change wording to 'we will flag any exercises' rather than changing exercises. We simply warn them. Also check that the functionality for this is still in place - any exercises linked to a contraindication should get an orange triangle warning icon on the exercise card in the logger. When clicked, this makes a small overlay model saying that the exercise may aggravate an injury and to either skip or proceed with caution or seek the opinion of a physiotherapist first."
