exercise_id,display_name,instructions
EX001,Dumbbell Back Extension,"Step 1: Set up at the back extension station (45-degree or horizontal).
Step 2: Let your torso hang toward the floor with a flat back.
Step 3: Raise your torso by squeezing your glutes and hamstrings until your body forms a straight line.
Step 4: Lower your torso with control back toward the floor, maintaining a flat back."
EX002,Bodyweight Back Extension,"Step 1: Set up at the back extension station with hips at the edge of the pad.
Step 2: Let your torso hang toward the floor with a flat back.
Step 3: Raise your torso by driving your hips into the pad and squeezing your glutes.
Step 4: Lower back down with control, keeping your back flat throughout."
EX003,Back Extension Hold,"Step 1: Set up at the back extension station with hips at the edge of the pad.
Step 2: Raise your torso until your body forms a straight line from head to heels.
Step 3: Maintain this straight-line position for the prescribed time.
Step 4: Lower your torso back down with control when the hold is complete."
EX004,Barbell Curl,"Step 1: Stand holding a barbell with an underhand grip, hands shoulder-width apart.
Step 2: Stand tall with feet shoulder-width apart, core braced.
Step 3: Curl the bar up toward your shoulders by bending only at the elbows.
Step 4: Lower the bar back down with control to full arm extension."
EX005,Dumbbell Curl,"Step 1: Stand holding a dumbbell in each hand at your sides, palms facing forward.
Step 2: Feet shoulder-width apart, core braced.
Step 3: Curl both dumbbells up toward your shoulders, keeping elbows stationary.
Step 4: Lower the dumbbells back down with control."
EX006,Dumbbell Hammer Curl,"Step 1: Stand holding a dumbbell in each hand at your sides with palms facing your thighs (neutral grip).
Step 2: Feet shoulder-width apart, core braced.
Step 3: Curl both dumbbells up toward your shoulders while keeping your palms facing each other throughout.
Step 4: Lower the dumbbells back to your sides with control."
EX007,Cable Curl,"Step 1: Set the cable pulley to the lowest position with a straight bar or EZ bar attachment.
Step 2: Arms extended toward the low pulley, slight tension on the cable.
Step 3: Curl the bar up toward your shoulders, keeping your elbows stationary.
Step 4: Lower the bar back down with control, resisting the cable."
EX008,EZ-bar Preacher Curl,"Step 1: Sit at the preacher bench and adjust the pad so your armpits rest near the top.
Step 2: Upper arms pressed flat against the pad throughout.
Step 3: Curl the weight up toward your shoulders while keeping your upper arms pressed into the pad.
Step 4: Lower the weight with control back down the pad."
EX009,Standing Calf Raise,"Step 1: Step onto the standing calf raise machine with your shoulders under the pads.
Step 2: Stand tall and lift your shoulders into the pads to release the safety.
Step 3: Push through the balls of your feet to rise as high as possible.
Step 4: Lower your heels slowly below the platform level, getting a full stretch in your calves."
EX010,Seated Calf Raise,"Step 1: Sit in the seated calf raise machine with the pad across your lower thighs (not your knees).
Step 2: Release the safety lever.
Step 3: Push through the balls of your feet to raise your heels as high as possible.
Step 4: Lower your heels slowly below platform level for a full stretch."
EX011,Standing Calf Raise,"Step 1: Step onto the standing calf raise machine with your shoulders under the pads.
Step 2: Stand tall and lift your shoulders into the pads to release the safety.
Step 3: Push through the balls of your feet to rise as high as possible.
Step 4: Lower your heels slowly below the platform level, getting a full stretch in your calves."
EX012,Seated Calf Raise,"Step 1: Sit in the seated calf raise machine with the pad across your lower thighs (not your knees).
Step 2: Release the safety lever.
Step 3: Push through the balls of your feet to raise your heels as high as possible.
Step 4: Lower your heels slowly below platform level for a full stretch."
EX013,Standing Dumbbell Calf Raise,"Step 1: Hold a dumbbell in one hand and stand on the edge of a step or platform with the balls of your feet on the edge.
Step 2: Let your heels drop below the platform for a stretch.
Step 3: Rise up onto your toes as high as possible, squeezing your calf at the top.
Step 4: Lower your heels slowly below the platform, getting a full stretch."
